id;hospital;endereco
33;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;AVENIDA FRANCISCO DE PAULA QUINTANILHA RIBEIRO, 860 - JABAQUARA, SAO PAULO, SP
34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;AV ELISIO TEIXEIRA LEITE, 6999 - PARADA DE TAIPAS, SAO PAULO, SP
35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;ALAMEDA RODRIGO DE BRUM, 1989 - VILA PARANAGUA, SAO PAULO, SP
36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;RUA ANTONIO LAZARO, 226 - JARDIM IVA, SAO PAULO, SP
37;HOSP MUN IGNACIO PROENCA DE GOUVEA;JUVENTUS, 562 - PARQUE DA MOOCA, SAO PAULO, SP
38;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;RUA SIQUEIRA BUENO, 1757 - AGUA RASA, SAO PAULO, SP
39;HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI;AV BRIGADEIRO LUIZ ANTONIO, 2651 - JARDIM PAULISTA, SAO PAULO, SP
40;HOSPITAL REGIONAL SUL SAO PAULO;RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270 - SANTO AMARO, SAO PAULO, SP
41;HOSPITAL VITAL BRAZIL SAO PAULO;AV VITAL BRAZIL, 1500 - BUTANTA, SAO PAULO, SP
42;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;RUA MANOEL FRANCA DOS SANTOS, 174 - JARDIM SAPOPEMBA, SAO PAULO, SP
43;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;AV MINISTRO PETRONIO PORTELA, 1642 - JARDIM IRACEMA, SAO PAULO, SP
44;HOSPITAL PSIQUIATRICO DE VILA MARIANA;RUA MAJOR MARAGLIANO, 241, 287 - VILA MARIANA, SAO PAULO, SP
45;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;AV DEPUTADO EMILIO CARLOS, 3000 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
46;HOSP DO SERV PUB MUNICIPAL HSPM;CASTRO ALVES, 60 - LIBERDADE, SAO PAULO, SP
47;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;ESTRADA DE ITAPECERICA, 1661, VILA MARACANA - CAMPO LIMPO, SAO PAULO, SP
48;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;RUA DOM JOSE MAURICIO, 15 - CARANDIRU, SAO PAULO, SP
49;HOSP MUN VER JOSE STOROPOLLI;RUA FRANCISCO FANGANIELLO, 127 - PARQUE NOVO MUNDO, SAO PAULO, SP
50;CENTRO MEDICO PMESP;AVENIDA NOVA CANTAREIRA, 3659 - TREMEMBE, SAO PAULO, SP
51;HOSP MUN CARMEN PRUDENTE;AVENIDA DOS METALURGICOS, 1797 - CIDADE TIRADENTES, SAO PAULO, SP
52;HOSPITAL LOCAL DE SAPOPEMBA;RUA IAMACARU, 45 - PARQUE SANTA MADALEN, SAO PAULO, SP
53;INSTITUTO DE REABILITACAO LUCY MONTORO;RUA JANDIATUBA, 580 - VILA ANDRADE, SAO PAULO, SP
