marca;modelo;versao;combustivel;consumo_cidade;consumo_cidade_2;consumo_estrada;consumo_estrada_2;classificacao_pbe;classificacao_geral
LAND ROVER;DISCOVERY SPORT;P250FF LE;F;5.1;7.2;6.6;9.6;D;E
LAND ROVER;DISCOVERY SPORT;P250FF LE 7L;F;5.1;7.2;6.6;9.6;D;E
LAND ROVER;DISCOVERY SPORT;P250FF SE D;F;5.1;7.2;6.6;9.6;D;E
LAND ROVER;DISCOVERY SPORT;P250FF SED7L;F;5.1;7.2;6.6;9.6;D;E
CHEVROLET;ONIX;LOG;F;9.5;13.5;11.3;16.3;A;B
FIAT;FIORINO;ENDURANCE;F;8.7;12.4;9.6;13.6;A;C
PEUGEOT;PARTRAPID;BUSIPK;F;8.7;12.4;9.6;13.6;A;C
Renault;KANGOO;ADV16;F;7.6;11.0;8.1;11.7;A;C
Renault;KANGOO;EX PRO;F;7.6;11.0;8.1;11.7;A;C
Renault;KANGOO;SRT16;F;7.6;11.0;8.1;11.7;A;C
CHEVROLET;MONTANA;MT;F;8.4;12.3;9.7;13.7;B;C
CHEVROLET;MONTANA;LT;F;8.4;12.3;9.7;13.7;B;C
CHEVROLET;MONTANA;LTZ;F;7.5;11.0;9.7;13.5;D;C
CHEVROLET;MONTANA;PREMIER;F;7.5;11.0;9.7;13.5;D;C
CHEVROLET;MONTANA;RS;F;7.5;11.0;9.7;13.5;D;C
FIAT;STRADA;ENDURAN CS13;F;9.1;13.0;10.1;14.7;A;C
FIAT;STRADA;FREEDOM CS13;F;9.1;13.0;10.1;14.7;A;C
FIAT;STRADA;FREEDOM CD13;F;8.9;12.8;10.1;14.4;A;C
FIAT;STRADA;VOLCANO CD13;F;8.9;12.4;9.8;13.9;B;C
FIAT;STRADA;VOLCANO 13AT;F;8.9;12.6;9.7;13.5;B;C
FIAT;STRADA;ULTRA T200AT;F;8.3;11.9;9.2;13.1;C;C
FIAT;STRADA;RANCH T200AT;F;8.3;11.9;9.2;13.1;C;C
Renault;OROCH;Intense16M;F;7.6;11.3;8.1;11.7;E;C
Renault;OROCH;PRO 16;F;7.6;11.3;8.1;11.7;E;C
FIAT;TORO;ENDUR T270 AT;F;6.8;9.8;7.9;11.2;A;D
FIAT;TORO;FREED T270 AT;F;6.5;9.4;7.8;10.8;A;D
FIAT;TORO;VOLC T270 AT;F;6.5;9.4;7.8;10.8;A;D
FIAT;TORO;ULTRA T270 AT;F;6.5;9.4;7.8;10.8;A;D
FIAT;TORO;VOLC T270 HYB;F;7.3;10.5;7.6;10.7;A;C
FIAT;TORO;ULTRA T270 HYB;F;7.3;10.5;7.6;10.7;A;C
RAM;RAMPAGE;LARAMIE FLEX;F;5.7;8.2;7.0;10.0;B;D
RAM;RAMPAGE;REBEL FLEX;F;5.7;8.2;7.0;10.0;B;D
RAM;RAMPAGE;RT FLEX;F;5.3;7.7;6.7;9.7;C;D
