categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_condicionado;combustivel;consumo_cidade;consumo_estrada;consumo_cidade_2;consumo_estrada_2;consumo_eletrico_cidade;consumo_eletrico_estrada;consumo_vehp_flex_cidade;consumo_vehp_flex_estrada;consumo_energetico_mj_km;autonomia_eletrica_km;classificacao_pbe;classificacao_geral;selo_conpet
Médio;CHEVROLET;ONIX PLUS;10TAT NB ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11,1;;;;;;;1,54;;C;C;-
Médio;CHEVROLET;ONIX PLUS;10TAT LT1 ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11,1;;;;;;;1,54;;C;C;-
Médio;CHEVROLET;ONIX PLUS;10TAT LTZ ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11,1;;;;;;;1,54;;C;C;-
Médio;CHEVROLET;ONIX PLUS;10TAT PR2 ALC;1.0T - 12V;Combustão;A-6;S;E100;9,1;11,1;;;;;;;1,54;;C;C;-
Médio;CHEVROLET;SPARK EUV;ACTIV;Elétrico;Elétrico;Automática (A);S;E;;;;;47,4;34,9;;;0,5;258;A;A;-
Médio;FIAT;CRONOS;1.0;1.0-6V;Combustão;M-5;S;F;9,7;11,2;13,4;15,9;;;;;1,46;;B;B;-
Médio;FIAT;CRONOS;DRIVE 1.0;1.0-6V;Combustão;M-5;S;F;9,7;11,2;13,4;15,9;;;;;1,46;;B;B;-
Médio;FIAT;CRONOS;DRIVE1.3AT;1.3-8V;Combustão;CVT-7;S;F;8,9;10,7;12,6;14,6;;;;;1,57;;C;C;-
Médio;FIAT;CRONOS;PREC 1.3AT;1.3-8V;Combustão;CVT-7;S;F;8,9;10,7;12,6;14,6;;;;;1,57;;C;C;-
Médio;FIAT;CRONOS;DRIVE 1.3;1.3-8V;Combustão;M-5;S;F;9,2;11;13,3;15,7;;;;;1,49;;B;B;-
Médio;Geely;EX2;MAX;Elétrico;Elétrico;A;S;E;;;;;60,1;45,2;;;0,39;289;A;A;-
Médio;Geely;EX2;PRO;Elétrico;Elétrico;A;S;E;;;;;60,1;45,2;;;0,39;289;A;A;-
Médio;GWM;ORA 03;BEV58 C;Elétrico;Elétrico;A-1;S;E;;;;;42,8;36,1;;;0,51;315;A;A;-
Médio;GWM;ORA 03;GT BEV63;Elétrico;Elétrico;A-1;S;E;;;;;41,1;33,7;;;0,54;295;A;A;-
Médio;GWM;ORA 03;SKIN BEV48;Elétrico;Elétrico;A-1;S;E;;;;;41,7;35,7;;;0,52;232;A;A;-
Médio;GWM;ORA 03;BEV58;Elétrico;Elétrico;A-1;S;E;;;;;42,8;36,1;;;0,51;315;A;A;-
Médio;HONDA;CITY;LX;1.5-16V;Combustão;CVT;S;F;9,3;10,4;12,8;15,5;;;;;1,53;;C;C;-
Médio;HONDA;CITY;EX;1.5-16V;Combustão;CVT;S;F;9,3;10,4;12,8;15,5;;;;;1,53;;C;C;-
Médio;HONDA;CITY;EXL;1.5-16V;Combustão;CVT;S;F;9,3;10,4;12,8;15,5;;;;;1,53;;C;C;-
Médio;HONDA;CITY;TOURING;1.5-16V;Combustão;CVT;S;F;9,3;10,4;12,8;15,5;;;;;1,53;;C;C;-
Médio;HONDA;CITY HATCH;LX;1.5-16V;Combustão;CVT;S;F;9,2;10,5;13,2;15;;;;;1,53;;C;C;-
Médio;HONDA;CITY HATCH;EX;1.5-16V;Combustão;CVT;S;F;9,2;10,5;13,2;15;;;;;1,53;;C;C;-
Médio;HONDA;CITY HATCH;EXL;1.5-16V;Combustão;CVT;S;F;9,2;10,5;13,2;15;;;;;1,53;;C;C;-
Médio;HONDA;CITY HATCH;TOURING;1.5-16V;Combustão;CVT;S;F;9,2;10,5;13,2;15;;;;;1,53;;C;C;-
Médio;HONDA;CITY HATCH;TOURING SPORT;1.5-16V;Combustão;CVT;S;F;9,2;10,5;13,2;15;;;;;1,53;;C;C;-
Médio;HONDA;HR-V;EX;1.5-16V;Combustão;CVT;S;F;8,8;9,9;12,5;13,9;;;;;1,63;;C;C;-
Médio;HONDA;HR-V;EXL;1.5-16V;Combustão;CVT;S;F;8,8;9,9;12,5;13,9;;;;;1,63;;C;C;-
Médio;HONDA;HR-V;ADVANCE;1.5T-16V;Combustão;CVT;S;F;8;9,2;11,3;13;;;;;1,78;;D;C;-
Médio;HONDA;HR-V;TOURING;1.5T-16V;Combustão;CVT;S;F;8;9,2;11,3;13;;;;;1,78;;D;C;-
Médio;HONDA;HR-V (mod. 26);ADVANCE;1.5T-16V;Combustão;CVT;S;F;8,1;9,1;11,5;12,9;;;;;1,78;;D;C;-
Médio;HONDA;HR-V (mod. 26);TOURING;1.5T-16V;Combustão;CVT;S;F;8,1;9,1;11,5;12,9;;;;;1,78;;D;C;-
Médio;Hyundai;HB20S;Comfort;1.0-12V;Combustão;M-5;S;F;9,7;10,9;13,4;15,4;;;;;1,47;;B;B;-
Médio;Hyundai;HB20S;Limited;1.0-12V;Combustão;M-5;S;F;9,7;10,9;13,4;15,4;;;;;1,47;;B;B;-
Médio;Hyundai;HB20S;Limited;1.0-12V T;Combustão;A-6;S;F;9,2;10,7;13;15,2;;;;;1,53;;C;C;-
Médio;Hyundai;HB20S;Platinum;1.0-12V T;Combustão;A-6;S;F;9,2;10,7;13;15,2;;;;;1,53;;C;C;-
Médio;Hyundai;KONA;Ultimate;1.6-16V HEV;Híbrido;DCT-6;S;G;;;18,4;16;;;;;1,21;;A;B;SIM
Médio;Hyundai;KONA;Signature;1.6-16V HEV;Híbrido;DCT-6;S;G;;;18,4;16;;;;;1,21;;A;B;SIM
Médio;Hyundai;I20;Comfort;1.0-12V;Combustão;M-5;S;F;9,7;10,5;13,9;15;;;;;1,48;;B;B;-
Médio;Hyundai;I20;Limited;1.0-12V;Combustão;M-5;S;F;9,7;10,5;13,9;15;;;;;1,48;;B;B;-
Médio;Hyundai;I20;Sense;1.0-12V;Combustão;M-5;S;F;9,7;10,5;13,9;15;;;;;1,48;;B;B;-
Médio;Hyundai;I20;Comfort;1.0-12V;Combustão;M-5;S;F;9,6;10,2;13,7;14,8;;;;;1,5;;B;B;-
Médio;Hyundai;I20;Limited;1.0-12V;Combustão;M-5;S;F;9,6;10,2;13,7;14,8;;;;;1,5;;B;B;-
Médio;Hyundai;I20;Sense;1.0-12V;Combustão;M-5;S;F;9,6;10,2;13,7;14,8;;;;;1,5;;B;B;-
Médio;JAC;e-JS4;e-JS4;Elétrico;Elétrico;A-1;S;E;;;;;47,5;39,1;;;0,47;307;A;A;-
