origin_id;origin_hospital;origin_bairro;destination_id;destination_hospital;destination_bairro;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;33;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;JABAQUARA;32259;32.26;2346;39.1;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;PARADA DE TAIPAS;6230;6.23;576;9.61;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;VILA PARANAGUA;29670;29.67;2332;38.87;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;JARDIM IVA;27300;27.3;2230;37.18;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;37;HOSP MUN IGNACIO PROENCA DE GOUVEA;PARQUE DA MOOCA;22920;22.92;1754;29.24;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;38;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;AGUA RASA;20420;20.42;1518;25.31;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;40;HOSPITAL REGIONAL SUL SAO PAULO;SANTO AMARO;31550;31.55;2106;35.11;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;42;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;JARDIM SAPOPEMBA;33240;33.24;2573;42.89;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;43;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;JARDIM IRACEMA;2460;2.46;261;4.36;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;46;HOSP DO SERV PUB MUNICIPAL HSPM;LIBERDADE;17700;17.7;1686;28.1;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;47;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;CAMPO LIMPO;30670;30.67;1971;32.85;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;48;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;CARANDIRU;13900;13.9;1274;21.23;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;49;HOSP MUN VER JOSE STOROPOLLI;PARQUE NOVO MUNDO;21390;21.39;1541;25.69;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;50;CENTRO MEDICO PMESP;TREMEMBE;13650;13.65;1373;22.88;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;51;HOSP MUN CARMEN PRUDENTE;CIDADE TIRADENTES;40120;40.12;3174;52.91;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;53;INSTITUTO DE REABILITACAO LUCY MONTORO;VILA ANDRADE;28490;28.49;1836;30.6;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;55;INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;CERQUEIRA CESAR;12670;12.67;1333;22.22;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;56;HOSP MUN SOROCABANA;VILA ROMANA;6900;6.9;685;11.42;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;57;HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;VILA MASCOTE;29470;29.47;2081;34.69;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;58;HOSP MUN CAPELA DO SOCORRO;JARDIM DAS IMBUIAS;40430;40.43;2979;49.66;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;59;HOSP MUN JOSANIAS CASTANHA BRAGA;JARDIM ROSCHEL;53500;53.5;3849;64.16;ok;
2;HOSPITAL MUNICIPAL BRASILANDIA;JARDIM MARISTELA;233;HOSP MUN SOROCABANA;ALTO DE PINHEIROS;9540;9.54;1040;17.35;ok;
